"StockKeyLabel","AssessmentYear","Ecoregion","AdviceCategory","AssessmentKey","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2017,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2018,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","4","Qualitative evaluation","-","-","Increasing","Unknown",2017,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","4","Qualitative evaluation","-","-","Increasing","Unknown",2018,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","4","Qualitative evaluation","-","-","Increasing","Unknown",2019,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","4","Qualitative evaluation","-","-","Increasing","Unknown",2017,7,"http://sg.ices.dk/download/icons/7.png","Stock Size"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","4","Qualitative evaluation","-","-","Increasing","Unknown",2018,7,"http://sg.ices.dk/download/icons/7.png","Stock Size"
"bll.27.22-32",2020,"Baltic Sea Ecoregion","PA/Stock status only","13692","4","Qualitative evaluation","-","-","Increasing","Unknown",2019,7,"http://sg.ices.dk/download/icons/7.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","1","Maximum sustainable yield","F<sub>MSY</sub>proxy","MSY B<sub>trigger</sub>","Above trigger","Above",2019,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","1","Maximum sustainable yield","F<sub>MSY</sub>proxy","MSY B<sub>trigger</sub>","Above trigger","Above",2020,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","1","Maximum sustainable yield","F<sub>MSY</sub>proxy","MSY B<sub>trigger</sub>","Above trigger","Above",2021,4,"http://sg.ices.dk/download/icons/4.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","1","Maximum sustainable yield","F<sub>MSY</sub>proxy","MSY B<sub>trigger</sub>","Above trigger","Above",2019,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","1","Maximum sustainable yield","F<sub>MSY</sub>proxy","MSY B<sub>trigger</sub>","Above trigger","Above",2020,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","1","Maximum sustainable yield","F<sub>MSY</sub>proxy","MSY B<sub>trigger</sub>","Above trigger","Above",2021,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Undefined","Unknown",2019,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Undefined","Unknown",2020,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Undefined","Unknown",2021,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Undefined","Unknown",2019,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Undefined","Unknown",2020,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Undefined","Unknown",2021,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2020,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2021,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2020,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"bll.27.3a47de",2022,"Celtic Seas Ecoregion, Greater North Sea Ecoregion","PA","17052","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2021,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"boc.27.6-8",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","16799","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Unknown",2018,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"boc.27.6-8",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","16799","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Unknown",2019,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"boc.27.6-8",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","16799","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Unknown",2020,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"boc.27.6-8",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","16799","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Unknown",2019,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"boc.27.6-8",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","16799","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Unknown",2020,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"boc.27.6-8",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","16799","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Unknown",2021,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"boc.27.6-8",2021,"Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","16799","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Undefined","Unknown",2018,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
